127.0.0.1 - - [27/Apr/2025:13:25:18 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:19 +0545] "GET /Airline_Management_System/ HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:19 +0545] "GET /Airline_Management_System/direct_flights.jpg HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:19 +0545] "GET /Airline_Management_System/modern-fleet.jpg HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:19 +0545] "GET /Airline_Management_System/experienced-crew.jpg HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:19 +0545] "GET /Airline_Management_System/loyalty-program.jpg HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:19 +0545] "GET /Airline_Management_System/css/airline.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:19 +0545] "GET /Airline_Management_System/css/banner.jpg HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:19 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:25 +0545] "GET /Airline_Management_System/login HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:25 +0545] "GET /Airline_Management_System/css/userlogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:25 +0545] "GET /Airline_Management_System/image/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:27 +0545] "GET /Airline_Management_System/register HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:25:27 +0545] "GET /Airline_Management_System/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:28:13 +0545] "POST /Airline_Management_System/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:28:13 +0545] "GET /Airline_Management_System/login HTTP/1.1" 200 2134
0:0:0:0:0:0:0:1 - - [27/Apr/2025:13:29:13 +0545] "POST /Airline_Management_System/login HTTP/1.1" 200 2102
